hostname,os,enviroment,country,node
ASDEU003,AIX,Staging,Germany,3
LSITA005,LINUX,Staging,Italy,5
LDESP002,LINUX,Development,Spain,2
LIIRL004,LINUX,Integration,Ireland,4
LPITA003,LINUX,Production,Italy,3
LPESP009,LINUX,Production,Spain,9
SSIRL006,SOLARIS,Staging,Ireland,6
SPDEU004,SOLARIS,Production,Germany,4
HDIRL002,HP-UX,Development,Ireland,2
HIIRL001,HP-UX,Integration,Ireland,1
LIITA002,LINUX,Integration,Italy,2
SPIRL011,SOLARIS,Production,Ireland,11
LTITA002,LINUX,Testing,Italy,2
LTFRA001,LINUX,Testing,France,1
STFRA003,SOLARIS,Testing,France,3
ASDEU004,AIX,Staging,Germany,4
LTDEU008,LINUX,Testing,Germany,8
LTNOR003,LINUX,Testing,Norway,3
LPITA004,LINUX,Production,Italy,4
HIIRL002,HP-UX,Integration,Ireland,2
SSDEU005,SOLARIS,Staging,Germany,5
HSESP002,HP-UX,Staging,Spain,2
HTIRL004,HP-UX,Testing,Ireland,4
SDITA002,SOLARIS,Development,Italy,2
SDIRL003,SOLARIS,Development,Ireland,3
LPESP010,LINUX,Production,Spain,10
SPFRA004,SOLARIS,Production,France,4
SSDEU006,SOLARIS,Staging,Germany,6
LTESP007,LINUX,Testing,Spain,7
SSDEU007,SOLARIS,Staging,Germany,7
LINOR003,LINUX,Integration,Norway,3
STESP005,SOLARIS,Testing,Spain,5
LPIRL013,LINUX,Production,Ireland,13
HPDEU002,HP-UX,Production,Germany,2
SPIRL012,SOLARIS,Production,Ireland,12
LTNOR004,LINUX,Testing,Norway,4
LPDEU008,LINUX,Production,Germany,8
HPITA002,HP-UX,Production,Italy,2
SSIRL007,SOLARIS,Staging,Ireland,7
APDEU005,AIX,Production,Germany,5
SIDEU003,SOLARIS,Integration,Germany,3
HIDEU001,HP-UX,Integration,Germany,1
LPNOR002,LINUX,Production,Norway,2
LSIRL009,LINUX,Staging,Ireland,9
ATDEU006,AIX,Testing,Germany,6
SPFRA005,SOLARIS,Production,France,5
ADDEU003,AIX,Development,Germany,3
LPFRA002,LINUX,Production,France,2
HPDEU003,HP-UX,Production,Germany,3
LIITA003,LINUX,Integration,Italy,3
ATIRL003,AIX,Testing,Ireland,3
ASIRL004,AIX,Staging,Ireland,4
LPNOR003,LINUX,Production,Norway,3
SSESP003,SOLARIS,Staging,Spain,3
LTDEU009,LINUX,Testing,Germany,9
SPITA005,SOLARIS,Production,Italy,5
LTITA003,LINUX,Testing,Italy,3
APIRL008,AIX,Production,Ireland,8
SPDEU005,SOLARIS,Production,Germany,5
LPIRL014,LINUX,Production,Ireland,14
HSIRL004,HP-UX,Staging,Ireland,4
HSDEU002,HP-UX,Staging,Germany,2
HPESP002,HP-UX,Production,Spain,2
AIIRL001,AIX,Integration,Ireland,1
LPIRL015,LINUX,Production,Ireland,15
LPDEU009,LINUX,Production,Germany,9
AIDEU001,AIX,Integration,Germany,1
STESP006,SOLARIS,Testing,Spain,6
SIITA001,SOLARIS,Integration,Italy,1
LPITA005,LINUX,Production,Italy,5
SSDEU008,SOLARIS,Staging,Germany,8
LTESP008,LINUX,Testing,Spain,8
LTIRL011,LINUX,Testing,Ireland,11
LTNOR005,LINUX,Testing,Norway,5
LSDEU009,LINUX,Staging,Germany,9
LTDEU010,LINUX,Testing,Germany,10
STITA004,SOLARIS,Testing,Italy,4
LPDEU010,LINUX,Production,Germany,10
STNOR002,SOLARIS,Testing,Norway,2
LTESP009,LINUX,Testing,Spain,9
LDIRL004,LINUX,Development,Ireland,4
APITA004,AIX,Production,Italy,4
HPIRL008,HP-UX,Production,Ireland,8
SSDEU009,SOLARIS,Staging,Germany,9
ATIRL004,AIX,Testing,Ireland,4
LPFRA003,LINUX,Production,France,3
ASITA002,AIX,Staging,Italy,2
LPDEU011,LINUX,Production,Germany,11
LSNOR004,LINUX,Staging,Norway,4
LSIRL010,LINUX,Staging,Ireland,10
STDEU006,SOLARIS,Testing,Germany,6
LPIRL016,LINUX,Production,Ireland,16
SDIRL004,SOLARIS,Development,Ireland,4
LTIRL012,LINUX,Testing,Ireland,12
STFRA004,SOLARIS,Testing,France,4
HPESP003,HP-UX,Production,Spain,3
LIIRL005,LINUX,Integration,Ireland,5
LDFRA002,LINUX,Development,France,2
STIRL008,SOLARIS,Testing,Ireland,8
ADIRL003,AIX,Development,Ireland,3
SIITA002,SOLARIS,Integration,Italy,2
LDIRL005,LINUX,Development,Ireland,5
LTIRL013,LINUX,Testing,Ireland,13
LDDEU005,LINUX,Development,Germany,5
LSIRL011,LINUX,Staging,Ireland,11
LIDEU006,LINUX,Integration,Germany,6
LIFRA001,LINUX,Integration,France,1
SSDEU010,SOLARIS,Staging,Germany,10
LTIRL014,LINUX,Testing,Ireland,14
HTIRL005,HP-UX,Testing,Ireland,5
LSIRL012,LINUX,Staging,Ireland,12
ATIRL005,AIX,Testing,Ireland,5
LPIRL017,LINUX,Production,Ireland,17
HSIRL005,HP-UX,Staging,Ireland,5
HPITA003,HP-UX,Production,Italy,3
SPDEU006,SOLARIS,Production,Germany,6
LSIRL013,LINUX,Staging,Ireland,13
LSITA006,LINUX,Staging,Italy,6
APIRL009,AIX,Production,Ireland,9
SIDEU004,SOLARIS,Integration,Germany,4
STITA005,SOLARIS,Testing,Italy,5
LINOR004,LINUX,Integration,Norway,4
LPDEU012,LINUX,Production,Germany,12
SSDEU011,SOLARIS,Staging,Germany,11
HPITA004,HP-UX,Production,Italy,4
STITA006,SOLARIS,Testing,Italy,6
APDEU006,AIX,Production,Germany,6
LSNOR005,LINUX,Staging,Norway,5
LDIRL006,LINUX,Development,Ireland,6
APESP004,AIX,Production,Spain,4
LSIRL014,LINUX,Staging,Ireland,14
SDESP002,SOLARIS,Development,Spain,2
AIITA001,AIX,Integration,Italy,1
ASIRL005,AIX,Staging,Ireland,5
APESP005,AIX,Production,Spain,5
LTDEU011,LINUX,Testing,Germany,11
HSDEU003,HP-UX,Staging,Germany,3
LPDEU013,LINUX,Production,Germany,13
APNOR001,AIX,Production,Norway,1
ASNOR003,AIX,Staging,Norway,3
SPFRA006,SOLARIS,Production,France,6
LDIRL007,LINUX,Development,Ireland,7
LPIRL018,LINUX,Production,Ireland,18
SPIRL013,SOLARIS,Production,Ireland,13
STIRL009,SOLARIS,Testing,Ireland,9
LSFRA002,LINUX,Staging,France,2
LSIRL015,LINUX,Staging,Ireland,15
AIESP001,AIX,Integration,Spain,1
SPITA006,SOLARIS,Production,Italy,6
HSIRL006,HP-UX,Staging,Ireland,6
STDEU007,SOLARIS,Testing,Germany,7
APIRL010,AIX,Production,Ireland,10
LSIRL016,LINUX,Staging,Ireland,16
LPDEU014,LINUX,Production,Germany,14
ADFRA002,AIX,Development,France,2
LIESP004,LINUX,Integration,Spain,4
LTITA004,LINUX,Testing,Italy,4
ATIRL006,AIX,Testing,Ireland,6
LTITA005,LINUX,Testing,Italy,5
SSFRA001,SOLARIS,Staging,France,1
SSDEU012,SOLARIS,Staging,Germany,12
LPFRA004,LINUX,Production,France,4
STDEU008,SOLARIS,Testing,Germany,8
ATFRA003,AIX,Testing,France,3
LTDEU012,LINUX,Testing,Germany,12
HPITA005,HP-UX,Production,Italy,5
HSITA001,HP-UX,Staging,Italy,1
LIDEU007,LINUX,Integration,Germany,7
LPDEU015,LINUX,Production,Germany,15
LTITA006,LINUX,Testing,Italy,6
SSDEU013,SOLARIS,Staging,Germany,13
SPESP005,SOLARIS,Production,Spain,5
LTIRL015,LINUX,Testing,Ireland,15
SPESP006,SOLARIS,Production,Spain,6
SIDEU005,SOLARIS,Integration,Germany,5
LSDEU010,LINUX,Staging,Germany,10
SPDEU007,SOLARIS,Production,Germany,7
ATESP006,AIX,Testing,Spain,6
HTNOR001,HP-UX,Testing,Norway,1
SIIRL004,SOLARIS,Integration,Ireland,4
LPFRA005,LINUX,Production,France,5
AINOR001,AIX,Integration,Norway,1
LTIRL016,LINUX,Testing,Ireland,16
SSDEU014,SOLARIS,Staging,Germany,14
SDNOR002,SOLARIS,Development,Norway,2
LPIRL019,LINUX,Production,Ireland,19
AIIRL002,AIX,Integration,Ireland,2
LSDEU011,LINUX,Staging,Germany,11
LTITA007,LINUX,Testing,Italy,7
HSIRL007,HP-UX,Staging,Ireland,7
SSFRA002,SOLARIS,Staging,France,2
ADIRL004,AIX,Development,Ireland,4
LTNOR006,LINUX,Testing,Norway,6
LTIRL017,LINUX,Testing,Ireland,17
SPESP007,SOLARIS,Production,Spain,7
LSITA007,LINUX,Staging,Italy,7
LTIRL018,LINUX,Testing,Ireland,18
STIRL010,SOLARIS,Testing,Ireland,10
LPESP011,LINUX,Production,Spain,11
SIFRA003,SOLARIS,Integration,France,3
AIIRL003,AIX,Integration,Ireland,3
SIDEU006,SOLARIS,Integration,Germany,6
LTDEU013,LINUX,Testing,Germany,13
HSIRL008,HP-UX,Staging,Ireland,8
LPIRL020,LINUX,Production,Ireland,20
LSFRA003,LINUX,Staging,France,3
LSESP010,LINUX,Staging,Spain,10
LTDEU014,LINUX,Testing,Germany,14
APITA005,AIX,Production,Italy,5
HDDEU002,HP-UX,Development,Germany,2
HIDEU002,HP-UX,Integration,Germany,2
SIDEU007,SOLARIS,Integration,Germany,7
STITA007,SOLARIS,Testing,Italy,7
SPITA007,SOLARIS,Production,Italy,7
SPNOR003,SOLARIS,Production,Norway,3
ATESP007,AIX,Testing,Spain,7
HSITA002,HP-UX,Staging,Italy,2
LSDEU012,LINUX,Staging,Germany,12
ATFRA004,AIX,Testing,France,4
ASESP002,AIX,Staging,Spain,2
LSIRL017,LINUX,Staging,Ireland,17
HSIRL009,HP-UX,Staging,Ireland,9
ATDEU007,AIX,Testing,Germany,7
LPDEU016,LINUX,Production,Germany,16
LSIRL018,LINUX,Staging,Ireland,18
ATESP008,AIX,Testing,Spain,8
HPNOR001,HP-UX,Production,Norway,1
APESP006,AIX,Production,Spain,6
LSIRL019,LINUX,Staging,Ireland,19
HDIRL003,HP-UX,Development,Ireland,3
LPIRL021,LINUX,Production,Ireland,21
LTDEU015,LINUX,Testing,Germany,15
LSFRA004,LINUX,Staging,France,4
STFRA005,SOLARIS,Testing,France,5
LPITA006,LINUX,Production,Italy,6
LPITA007,LINUX,Production,Italy,7
SIIRL005,SOLARIS,Integration,Ireland,5
LSESP011,LINUX,Staging,Spain,11
STDEU009,SOLARIS,Testing,Germany,9
APDEU007,AIX,Production,Germany,7
HPIRL009,HP-UX,Production,Ireland,9
LDIRL008,LINUX,Development,Ireland,8
LIESP005,LINUX,Integration,Spain,5
HPFRA003,HP-UX,Production,France,3
ATIRL007,AIX,Testing,Ireland,7
ADFRA003,AIX,Development,France,3
HDIRL004,HP-UX,Development,Ireland,4
APDEU008,AIX,Production,Germany,8
SPDEU008,SOLARIS,Production,Germany,8
LTIRL019,LINUX,Testing,Ireland,19
APDEU009,AIX,Production,Germany,9
ADFRA004,AIX,Development,France,4
APFRA004,AIX,Production,France,4
LDESP003,LINUX,Development,Spain,3
ASIRL006,AIX,Staging,Ireland,6
LDFRA003,LINUX,Development,France,3
ASDEU005,AIX,Staging,Germany,5
ADFRA005,AIX,Development,France,5
STFRA006,SOLARIS,Testing,France,6
SSITA003,SOLARIS,Staging,Italy,3
HSESP003,HP-UX,Staging,Spain,3
ATESP009,AIX,Testing,Spain,9
SSFRA003,SOLARIS,Staging,France,3
AIDEU002,AIX,Integration,Germany,2
LTDEU016,LINUX,Testing,Germany,16
ADIRL005,AIX,Development,Ireland,5
SPIRL014,SOLARIS,Production,Ireland,14
LPNOR004,LINUX,Production,Norway,4
HTITA001,HP-UX,Testing,Italy,1
HTDEU003,HP-UX,Testing,Germany,3
LIIRL006,LINUX,Integration,Ireland,6
SDDEU003,SOLARIS,Development,Germany,3
SPDEU009,SOLARIS,Production,Germany,9
ATESP010,AIX,Testing,Spain,10
STESP007,SOLARIS,Testing,Spain,7
LTDEU017,LINUX,Testing,Germany,17
HTESP003,HP-UX,Testing,Spain,3
HTITA002,HP-UX,Testing,Italy,2
SPNOR004,SOLARIS,Production,Norway,4
LDDEU006,LINUX,Development,Germany,6
AIIRL004,AIX,Integration,Ireland,4
LDIRL009,LINUX,Development,Ireland,9
LPESP012,LINUX,Production,Spain,12
LTESP010,LINUX,Testing,Spain,10
ASIRL007,AIX,Staging,Ireland,7
STIRL011,SOLARIS,Testing,Ireland,11
LPFRA006,LINUX,Production,France,6
LDITA003,LINUX,Development,Italy,3
LDITA004,LINUX,Development,Italy,4
LIIRL007,LINUX,Integration,Ireland,7
LPIRL022,LINUX,Production,Ireland,22
SIITA003,SOLARIS,Integration,Italy,3
AINOR002,AIX,Integration,Norway,2
STFRA007,SOLARIS,Testing,France,7
SPIRL015,SOLARIS,Production,Ireland,15
LPESP013,LINUX,Production,Spain,13
APFRA005,AIX,Production,France,5
LSDEU013,LINUX,Staging,Germany,13
SIDEU008,SOLARIS,Integration,Germany,8
HINOR001,HP-UX,Integration,Norway,1
LPIRL023,LINUX,Production,Ireland,23
STIRL012,SOLARIS,Testing,Ireland,12
HPFRA004,HP-UX,Production,France,4
LSESP012,LINUX,Staging,Spain,12
SDDEU004,SOLARIS,Development,Germany,4
LIIRL008,LINUX,Integration,Ireland,8
SPNOR005,SOLARIS,Production,Norway,5
LPESP014,LINUX,Production,Spain,14
LIIRL009,LINUX,Integration,Ireland,9
LPDEU017,LINUX,Production,Germany,17
SPITA008,SOLARIS,Production,Italy,8
LPDEU018,LINUX,Production,Germany,18
APIRL011,AIX,Production,Ireland,11
HIFRA001,HP-UX,Integration,France,1
STFRA008,SOLARIS,Testing,France,8
SPDEU010,SOLARIS,Production,Germany,10
LDNOR001,LINUX,Development,Norway,1
SIIRL006,SOLARIS,Integration,Ireland,6
STESP008,SOLARIS,Testing,Spain,8
LTESP011,LINUX,Testing,Spain,11
SSIRL008,SOLARIS,Staging,Ireland,8
HTIRL006,HP-UX,Testing,Ireland,6
HTDEU004,HP-UX,Testing,Germany,4
HIIRL003,HP-UX,Integration,Ireland,3
SSDEU015,SOLARIS,Staging,Germany,15
ATDEU008,AIX,Testing,Germany,8
APNOR002,AIX,Production,Norway,2
LTESP012,LINUX,Testing,Spain,12
SPESP008,SOLARIS,Production,Spain,8
AIDEU003,AIX,Integration,Germany,3
LTFRA002,LINUX,Testing,France,2
APESP007,AIX,Production,Spain,7
SPIRL016,SOLARIS,Production,Ireland,16
SPIRL017,SOLARIS,Production,Ireland,17
APNOR003,AIX,Production,Norway,3
LDITA005,LINUX,Development,Italy,5
SPDEU011,SOLARIS,Production,Germany,11
LPITA008,LINUX,Production,Italy,8
LPIRL024,LINUX,Production,Ireland,24
STESP009,SOLARIS,Testing,Spain,9
LTDEU018,LINUX,Testing,Germany,18
LPIRL025,LINUX,Production,Ireland,25
HTITA003,HP-UX,Testing,Italy,3
STDEU010,SOLARIS,Testing,Germany,10
LSIRL020,LINUX,Staging,Ireland,20
LTESP013,LINUX,Testing,Spain,13
SIIRL007,SOLARIS,Integration,Ireland,7
LSIRL021,LINUX,Staging,Ireland,21
LPFRA007,LINUX,Production,France,7
SDESP003,SOLARIS,Development,Spain,3
LIIRL010,LINUX,Integration,Ireland,10
LSITA008,LINUX,Staging,Italy,8
STIRL013,SOLARIS,Testing,Ireland,13
HIESP002,HP-UX,Integration,Spain,2
LTESP014,LINUX,Testing,Spain,14
APIRL012,AIX,Production,Ireland,12
LIIRL011,LINUX,Integration,Ireland,11
STDEU011,SOLARIS,Testing,Germany,11
SSFRA004,SOLARIS,Staging,France,4
LSESP013,LINUX,Staging,Spain,13
APIRL013,AIX,Production,Ireland,13
LIITA004,LINUX,Integration,Italy,4
ADESP001,AIX,Development,Spain,1
